ID,rodata,data,hora,mandante,visitante,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante,vencedor,arena,mandante_Placar,visitante_Placar,mandante_Estado,visitante_Estado,resultado
6502,38,2/12/2018,17:00,Parana,Internacional,4-4-2,4-2-3-1,L. Cavalcanti,O. Hellmann,-,Vila Capanema,1,1,PR,RS,2
6503,38,2/12/2018,17:04,Fluminense,America-MG,4-1-4-1,4-2-3-1,F. Ribeiro Moreno,G. de Oliveira,Fluminense, Maracanã,1,0,RJ,MG,0
6504,38,2/12/2018,17:04,Chapecoense,Sao Paulo,4-2-2-2,4-2-3-1,C. dos Santos Oliveira,A. Soares Jardine,Chapecoense,Arena Condá,1,0,SC,SP,0
6505,38,2/12/2018,17:00,Palmeiras,Vitoria,4-2-3-1,4-1-4-1,L. Scolari,J. Burse,Palmeiras,Allianz Parque,3,2,SP,BA,0
6506,1,27/4/2019,16:02,Sao Paulo,Botafogo-RJ,4-2-3-1,4-1-4-1,A. Stival,E. de Souza Barroca,Sao Paulo, Morumbi,2,0,SP,RJ,0
6507,1,27/4/2019,19:00,Atletico-MG,Avai,4-2-3-1,4-1-4-1,R. Marques Santana,E. Machado Souto,Atletico-MG,Estádio Raimundo Sampaio,2,1,MG,SC,0
6508,1,27/4/2019,19:01,Chapecoense,Internacional,4-2-3-1,4-3-3,N. da Silveira Júnior,O. Hellmann,Chapecoense,Arena Condá,2,0,SC,RS,0
6509,1,27/4/2019,21:00,Flamengo,Cruzeiro,4-2-3-1,4-2-3-1,A. da Silva Braga,L. Venker de Menezes,Flamengo, Maracanã,3,1,RJ,MG,0
6510,1,28/4/2019,11:03,Gremio,Santos,4-2-3-1,3-4-1-2,Renato Gaúcho,J. Sampaoli Moya,Santos,Arena do Grêmio,1,2,RS,SP,1
6511,1,28/4/2019,16:01,Bahia,Corinthians,4-2-3-1,4-1-4-1,R. Machado Marques,F. Carille,Bahia,Itaipava Arena Fonte Nova,3,2,BA,SP,0
6512,1,28/4/2019,16:03,Athletico-PR,Vasco,4-2-3-1,3-5-2,T. Retzalff Nunes,M. Gomes Valadares,Athletico-PR,Estádio Joaquim Américo Guimarães,4,1,PR,RJ,0
6513,1,28/4/2019,16:00,Ceara,CSA,4-2-3-1,4-2-3-1,E. Alves Moreira,M. Ribeiro Cabo,Ceara,Arena Castelão,4,0,CE,AL,0
6514,1,28/4/2019,19:00,Palmeiras,Fortaleza,4-2-3-1,4-4-2,L. Scolari,R. Ceni,Palmeiras,Allianz Parque,4,0,SP,CE,0
6515,1,28/4/2019,19:27,Fluminense,Goias,4-3-3,4-2-3-1,F. Diniz Silva,C. dos Santos Oliveira,Goias, Maracanã,0,1,RJ,GO,1
6516,2,1/5/2019,16:01,Internacional,Flamengo,4-3-3,4-2-3-1,O. Hellmann,A. da Silva Braga,Internacional,Estádio José Pinheiro Borda,2,1,RS,RJ,0
6517,2,1/5/2019,16:00,CSA,Palmeiras,4-2-3-1,4-2-3-1,M. Ribeiro Cabo,L. Scolari,-,Estádio Rei Pelé,1,1,AL,SP,2
6518,2,1/5/2019,16:01,Corinthians,Chapecoense,4-1-4-1,4-4-1-1,F. Carille,N. da Silveira Júnior,Corinthians,Neo Química Arena,1,0,SP,SC,0
6519,2,1/5/2019,19:15,Cruzeiro,Ceara,4-2-3-1,4-2-3-1,L. Venker de Menezes,E. Alves Moreira,Cruzeiro, Mineirão,1,0,MG,CE,0
6520,2,1/5/2019,19:17,Avai,Gremio,5-3-2,4-2-3-1,E. Machado Souto,Renato Gaúcho,-,  Ressacada,1,1,SC,RS,2
6521,2,1/5/2019,21:31,Goias,Sao Paulo,4-2-3-1,4-2-3-1,C. dos Santos Oliveira,A. Stival,Sao Paulo,Estádio do Governo do Estado de Goiás (Serra Dourada),1,2,GO,SP,1
6522,2,1/5/2019,21:31,Vasco,Atletico-MG,4-2-3-1,4-1-4-1,M. Gomes Valadares,R. Marques Santana,Atletico-MG,Estádio Vasco da Gama,1,2,RJ,MG,1
6523,2,1/5/2019,21:31,Fortaleza,Athletico-PR,4-2-2-2,4-2-3-1,R. Ceni,T. Retzalff Nunes,Fortaleza,Arena Castelão,2,1,CE,PR,0
6524,2,2/5/2019,19:15,Santos,Fluminense,4-3-3,4-3-3,J. Sampaoli Moya,F. Diniz Silva,Santos,Estádio Urbano Caldeira,2,1,SP,RJ,0
6525,2,2/5/2019,20:01,Botafogo-RJ,Bahia,4-1-4-1,4-2-3-1,E. de Souza Barroca,R. Machado Marques,Botafogo-RJ,Estádio Nilton Santos,3,2,RJ,BA,0
6526,3,4/5/2019,19:01,Vasco,Corinthians,4-2-3-1,4-1-4-1,M. Gomes Valadares,F. Carille,-,Arena da Amazônia,1,1,RJ,SP,2
6527,3,4/5/2019,19:00,Palmeiras,Internacional,4-2-3-1,4-3-3,L. Scolari,O. Hellmann,Palmeiras,Allianz Parque,1,0,SP,RS,0
6528,3,4/5/2019,21:01,Ceara,Atletico-MG,4-2-3-1,4-2-3-1,E. Alves Moreira,R. Marques Santana,Atletico-MG,Arena Castelão,1,2,CE,MG,1
6529,3,5/5/2019,12:03,Chapecoense,Athletico-PR,4-4-1-1,5-3-2,N. da Silveira Júnior,T. Retzalff Nunes,-,Arena Condá,1,1,SC,PR,2
6530,3,5/5/2019,16:01,Sao Paulo,Flamengo,4-3-3,4-1-4-1,A. Stival,A. da Silva Braga,-, Morumbi,1,1,SP,RJ,2
6531,3,5/5/2019,16:00,Botafogo-RJ,Fortaleza,4-1-4-1,4-4-2,E. de Souza Barroca,R. Ceni,Botafogo-RJ,Estádio Nilton Santos,1,0,RJ,CE,0
6532,3,5/5/2019,16:00,CSA,Santos,4-2-3-1,3-4-3,M. Ribeiro Cabo,J. Sampaoli Moya,-,Estádio Rei Pelé,0,0,AL,SP,2
6533,3,5/5/2019,16:00,Cruzeiro,Goias,4-2-3-1,4-2-3-1,L. Venker de Menezes,C. dos Santos Oliveira,Cruzeiro, Mineirão,2,1,MG,GO,0
6534,3,5/5/2019,19:00,Gremio,Fluminense,4-2-3-1,4-1-4-1,Renato Gaúcho,F. Diniz Silva,Fluminense,Arena do Grêmio,4,5,RS,RJ,1
6535,3,5/5/2019,19:00,Bahia,Avai,4-2-3-1,5-3-2,R. Machado Marques,E. Machado Souto,Bahia,Itaipava Arena Fonte Nova,1,0,BA,SC,0
6536,4,11/5/2019,16:01,Fluminense,Botafogo-RJ,4-2-3-1,4-1-4-1,F. Diniz Silva,E. de Souza Barroca,Botafogo-RJ, Maracanã,0,1,RJ,RJ,1
6537,4,11/5/2019,19:01,Corinthians,Gremio,4-1-4-1,4-2-3-1,F. Carille,Renato Gaúcho,-,Neo Química Arena,0,0,SP,RS,2
6538,4,11/5/2019,21:01,Goias,Ceara,4-2-3-1,4-2-3-1,C. dos Santos Oliveira,E. Alves Moreira,Goias,Estádio do Governo do Estado de Goiás (Serra Dourada),2,1,GO,CE,0
6539,4,12/5/2019,11:00,Flamengo,Chapecoense,4-2-3-1,4-2-3-1,A. da Silva Braga,N. da Silveira Júnior,Flamengo, Maracanã,2,1,RJ,SC,0
6540,4,12/5/2019,16:02,Santos,Vasco,4-3-3,3-4-3,J. Sampaoli Moya,M. Gomes Valadares,Santos,Estádio Municipal Paulo Machado de Carvalho,3,0,SP,RJ,0
6541,4,12/5/2019,10:53,Atletico-MG,Palmeiras,4-3-3,4-2-3-1,R. Marques Santana,L. Scolari,Palmeiras, Mineirão,0,2,MG,SP,1
6542,4,12/5/2019,16:01,Internacional,Cruzeiro,4-3-3,4-2-3-1,O. Hellmann,L. Venker de Menezes,Internacional,Estádio José Pinheiro Borda,3,1,RS,MG,0
6543,4,12/5/2019,19:01,Avai,CSA,4-3-3,4-2-3-1,E. Machado Souto,M. Ribeiro Cabo,-,  Ressacada,0,0,SC,AL,2
6544,4,12/5/2019,19:00,Athletico-PR,Bahia,4-1-4-1,4-2-3-1,T. Retzalff Nunes,R. Machado Marques,Athletico-PR,Estádio Joaquim Américo Guimarães,1,0,PR,BA,0
6545,4,12/5/2019,19:00,Fortaleza,Sao Paulo,4-4-2,4-3-3,R. Ceni,A. Stival,Sao Paulo,Arena Castelão,0,1,CE,SP,1
6546,5,18/5/2019,18:00,Fluminense,Cruzeiro,4-1-4-1,4-2-3-1,F. Diniz Silva,L. Venker de Menezes,Fluminense, Maracanã,4,1,RJ,MG,0
6547,5,18/5/2019,19:01,Palmeiras,Santos,4-2-3-1,3-5-2,L. Scolari,J. Sampaoli Moya,Palmeiras,Estádio Municipal Paulo Machado de Carvalho,4,0,SP,SP,0
6548,5,18/5/2019,19:00,Atletico-MG,Flamengo,4-2-3-1,4-2-3-1,R. Marques Santana,A. da Silva Braga,Atletico-MG,Estádio Raimundo Sampaio,2,1,MG,RJ,0
6549,5,19/5/2019,11:02,Sao Paulo,Bahia,4-2-3-1,4-3-3,A. Stival,R. Machado Marques,-, Morumbi,0,0,SP,BA,2
6550,5,19/5/2019,16:01,Internacional,CSA,4-3-1-2,4-2-3-1,O. Hellmann,M. Ribeiro Cabo,Internacional,Estádio José Pinheiro Borda,2,0,RS,AL,0
6551,5,19/5/2019,16:00,Athletico-PR,Corinthians,4-4-2,4-2-3-1,T. Retzalff Nunes,F. Carille,Corinthians,Estádio Joaquim Américo Guimarães,0,2,PR,SP,1
6552,5,19/5/2019,16:01,Goias,Botafogo-RJ,4-2-3-1,4-1-4-1,C. dos Santos Oliveira,E. de Souza Barroca,Goias,Estádio do Governo do Estado de Goiás (Serra Dourada),1,0,GO,RJ,0
6553,5,19/5/2019,16:00,Chapecoense,Fortaleza,4-1-4-1,4-4-2,N. da Silveira Júnior,R. Ceni,Fortaleza,Arena Condá,1,3,SC,CE,1
6554,5,19/5/2019,18:59,Vasco,Avai,4-2-3-1,4-1-4-1,V. Luxemburgo da Silva,E. Machado Souto,-,Estádio Vasco da Gama,1,1,RJ,SC,2
6555,5,19/5/2019,19:00,Ceara,Gremio,4-4-2,4-2-3-1,E. Alves Moreira,Renato Gaúcho,Ceara,Arena Castelão,2,1,CE,RS,0
6556,6,25/5/2019,16:00,Botafogo-RJ,Palmeiras,4-1-4-1,4-2-3-1,E. de Souza Barroca,L. Scolari,Palmeiras,Estádio Nacional de Brasília,0,1,RJ,SP,1
6557,6,25/5/2019,19:00,Gremio,Atletico-MG,4-2-3-1,4-2-3-1,Renato Gaúcho,R. Marques Santana,Gremio,Arena do Grêmio,1,0,RS,MG,0
6558,6,26/5/2019,16:02,Flamengo,Athletico-PR,4-1-4-1,4-4-2,A. da Silva Braga,T. Retzalff Nunes,Flamengo, Maracanã,3,2,RJ,PR,0
6559,6,26/5/2019,16:01,Santos,Internacional,4-3-3,4-1-4-1,J. Sampaoli Moya,O. Hellmann,-,Estádio Urbano Caldeira,0,0,SP,RS,2
6560,6,26/5/2019,19:00,Fortaleza,Vasco,4-4-2,4-2-3-1,R. Ceni,V. Luxemburgo da Silva,-,Arena Castelão,1,1,CE,RJ,2
6561,6,26/5/2019,19:00,Cruzeiro,Chapecoense,4-1-4-1,4-4-1-1,L. Venker de Menezes,N. da Silveira Júnior,Chapecoense,Estádio Raimundo Sampaio,1,2,MG,SC,1
6562,6,26/5/2019,19:01,Bahia,Fluminense,4-1-4-1,4-1-4-1,R. Machado Marques,F. Diniz Silva,Bahia,Itaipava Arena Fonte Nova,3,2,BA,RJ,0
6563,6,26/5/2019,19:01,Corinthians,Sao Paulo,4-1-4-1,4-2-3-1,F. Carille,A. Stival,Corinthians,Neo Química Arena,1,0,SP,SP,0
6564,6,27/5/2019,20:01,CSA,Goias,4-2-3-1,4-2-3-1,M. Ribeiro Cabo,C. dos Santos Oliveira,CSA,Estádio Rei Pelé,1,0,AL,GO,0
6565,6,27/5/2019,20:00,Avai,Ceara,4-3-3,4-4-2,E. Machado Souto,E. Alves Moreira,Ceara,  Ressacada,1,2,SC,CE,1
6566,7,1/6/2019,16:01,Flamengo,Fortaleza,4-2-3-1,4-4-2,M. Salles,R. Ceni,Flamengo,Estádio Nilton Santos,2,0,RJ,CE,0
6567,7,1/6/2019,19:01,Bahia,Gremio,4-3-3,4-2-3-1,R. Machado Marques,Renato Gaúcho,Bahia,Estádio de Pituaçu,1,0,BA,RS,0
6568,7,2/6/2019,11:01,Botafogo-RJ,Vasco,4-1-4-1,4-1-4-1,E. de Souza Barroca,V. Luxemburgo da Silva,Botafogo-RJ,Estádio Nilton Santos,1,0,RJ,RJ,0
6569,7,2/6/2019,16:03,Ceara,Santos,4-4-2,4-3-3,E. Alves Moreira,J. Sampaoli Moya,Santos,Arena Castelão,0,1,CE,SP,1
6570,7,2/6/2019,16:40,Athletico-PR,Fluminense,4-2-3-1,4-3-3,T. Retzalff Nunes,F. Diniz Silva,Athletico-PR,Estádio Joaquim Américo Guimarães,3,0,PR,RJ,0
6571,7,2/6/2019,16:00,Sao Paulo,Cruzeiro,4-3-3,4-2-3-1,A. Stival,L. Venker de Menezes,-,Estádio Municipal Paulo Machado de Carvalho,1,1,SP,MG,2
6572,7,2/6/2019,19:00,Atletico-MG,CSA,4-2-3-1,4-2-3-1,R. Marques Santana,M. Ribeiro Cabo,Atletico-MG,Estádio Raimundo Sampaio,4,0,MG,AL,0
6573,7,2/6/2019,19:00,Chapecoense,Palmeiras,4-2-3-1,4-2-3-1,N. da Silveira Júnior,L. Scolari,Palmeiras,Arena Condá,1,2,SC,SP,1
6574,7,2/6/2019,19:00,Internacional,Avai,4-2-3-1,4-3-3,O. Hellmann,E. Machado Souto,Internacional,Estádio José Pinheiro Borda,2,0,RS,SC,0
6576,8,7/6/2019,20:30,Vasco,Internacional,4-3-3,4-3-3,V. Luxemburgo da Silva,O. Hellmann,Vasco,Estádio Vasco da Gama,2,1,RJ,RS,0
6577,8,8/6/2019,16:30,Palmeiras,Athletico-PR,4-2-3-1,4-1-4-1,L. Scolari,T. Retzalff Nunes,Palmeiras,Allianz Parque,1,0,SP,PR,0
6578,8,8/6/2019,19:00,Gremio,Fortaleza,4-2-3-1,4-2-3-1,Renato Gaúcho,R. Ceni,Gremio,Estádio Francisco Stédile (Centenário),1,0,RS,CE,0
6579,8,8/6/2019,19:00,Cruzeiro,Corinthians,4-2-3-1,4-1-4-1,L. Venker de Menezes,F. Carille,-, Mineirão,0,0,MG,SP,2
6580,8,8/6/2019,19:31,Ceara,Bahia,4-2-3-1,4-3-3,E. Alves Moreira,R. Machado Marques,-,Arena Castelão,0,0,CE,BA,2
6581,8,8/6/2019,21:00,Avai,Sao Paulo,4-2-3-1,4-2-3-1,E. Machado Souto,A. Stival,-,  Ressacada,0,0,SC,SP,2
6582,8,9/6/2019,19:01,CSA,Botafogo-RJ,4-2-3-1,4-1-4-1,M. Ribeiro Cabo,E. de Souza Barroca,Botafogo-RJ,Estádio Rei Pelé,1,2,AL,RJ,1
6583,8,9/6/2019,19:00,Fluminense,Flamengo,4-2-3-1,4-2-3-1,F. Diniz Silva,M. Salles,-, Maracanã,0,0,RJ,RJ,2
6584,8,9/6/2019,19:00,Santos,Atletico-MG,4-3-3,4-2-3-1,J. Sampaoli Moya,R. Marques Santana,Santos,Estádio Urbano Caldeira,3,1,SP,MG,0
6585,8,10/6/2019,20:01,Goias,Chapecoense,4-2-3-1,4-2-3-1,C. dos Santos Oliveira,N. da Silveira Júnior,Goias,Estádio do Governo do Estado de Goiás (Serra Dourada),3,1,GO,SC,0
6586,9,12/6/2019,19:17,Botafogo-RJ,Gremio,4-1-4-1,4-2-3-1,E. de Souza Barroca,Renato Gaúcho,Gremio,Estádio Nilton Santos,0,1,RJ,RS,1
6587,9,12/6/2019,21:01,Fortaleza,Cruzeiro,4-2-3-1,4-2-3-1,R. Ceni,L. Venker de Menezes,Fortaleza,Arena Castelão,2,1,CE,MG,0
6588,9,12/6/2019,21:30,Internacional,Bahia,4-3-3,4-1-4-1,O. Hellmann,R. Machado Marques,Internacional,Estádio José Pinheiro Borda,3,1,RS,BA,0
6589,9,12/6/2019,21:30,CSA,Flamengo,4-1-4-1,4-2-3-1,M. Ribeiro Cabo,M. Salles,Flamengo,Estádio Nacional de Brasília,0,2,AL,RJ,1
6590,9,12/6/2019,21:31,Santos,Corinthians,4-3-3,4-1-4-1,J. Sampaoli Moya,F. Carille,Santos,Estádio Urbano Caldeira,1,0,SP,SP,0
6591,9,13/6/2019,19:16,Vasco,Ceara,4-3-3,4-4-2,V. Luxemburgo da Silva,E. Alves Moreira,Vasco,Estádio Vasco da Gama,1,0,RJ,CE,0
6592,9,13/6/2019,20:00,Chapecoense,Fluminense,4-1-4-1,4-3-3,N. da Silveira Júnior,F. Diniz Silva,-,Arena Condá,1,1,SC,RJ,2
6593,9,13/6/2019,20:00,Palmeiras,Avai,4-2-3-1,4-1-4-1,L. Scolari,E. Machado Souto,Palmeiras,Allianz Parque,2,0,SP,SC,0
6594,9,13/6/2019,20:00,Atletico-MG,Sao Paulo,4-2-3-1,4-2-3-1,R. Marques Santana,A. Stival,-,Estádio Raimundo Sampaio,1,1,MG,SP,2
6595,9,13/6/2019,14:08,Goias,Athletico-PR,4-2-3-1,4-1-2-1-2,C. dos Santos Oliveira,T. Retzalff Nunes,Goias,Estádio do Governo do Estado de Goiás (Serra Dourada),2,1,GO,PR,0
6596,10,13/7/2019,17:00,Gremio,Vasco,4-2-3-1,4-3-3,Renato Gaúcho,V. Luxemburgo da Silva,Gremio,Arena do Grêmio,2,1,RS,RJ,0
6597,10,13/7/2019,16:59,Fortaleza,Avai,4-4-2,4-2-3-1,R. Ceni,A. Valentim do Carmo Neto,Fortaleza,Arena Castelão,2,0,CE,SC,0
6598,10,13/7/2019,19:01,Bahia,Santos,4-3-3,3-4-3,R. Machado Marques,J. Sampaoli Moya,Santos,Estádio de Pituaçu,0,1,BA,SP,1
6599,10,13/7/2019,19:01,Sao Paulo,Palmeiras,4-2-3-1,4-2-3-1,A. Stival,L. Scolari,-, Morumbi,1,1,SP,SP,2
6600,10,14/7/2019,11:00,Flamengo,Goias,4-1-3-2,4-2-3-1,J. Pinheiro de Jesus,C. dos Santos Oliveira,Flamengo, Maracanã,6,1,RJ,GO,0
6601,10,14/7/2019,16:03,Corinthians,CSA,4-1-4-1,4-2-2-2,F. Carille,A. Fucks,Corinthians,Neo Química Arena,1,0,SP,AL,0
6602,10,14/7/2019,16:00,Athletico-PR,Internacional,4-2-3-1,4-3-3,T. Retzalff Nunes,O. Hellmann,Athletico-PR,Estádio Joaquim Américo Guimarães,1,0,PR,RS,0
6603,10,14/7/2019,16:00,Cruzeiro,Botafogo-RJ,4-2-3-1,4-3-3,L. Venker de Menezes,E. de Souza Barroca,-, Mineirão,0,0,MG,RJ,2
6604,10,14/7/2019,19:00,Chapecoense,Atletico-MG,4-1-4-1,4-2-3-1,N. da Silveira Júnior,R. Marques Santana,Atletico-MG,Arena Condá,1,2,SC,MG,1
6605,10,15/7/2019,20:01,Fluminense,Ceara,4-3-3,4-1-4-1,F. Diniz Silva,E. Alves Moreira,-, Maracanã,1,1,RJ,CE,2
6606,11,20/7/2019,11:02,Vasco,Fluminense,4-1-4-1,4-2-3-1,V. Luxemburgo da Silva,F. Diniz Silva,Vasco,Estádio Vasco da Gama,2,1,RJ,RJ,0
6607,11,20/7/2019,17:00,Bahia,Cruzeiro,4-1-4-1,4-3-3,R. Machado Marques,L. Venker de Menezes,-,Itaipava Arena Fonte Nova,0,0,BA,MG,2
6608,11,20/7/2019,19:01,Ceara,Palmeiras,4-4-2,4-2-3-1,E. Alves Moreira,L. Scolari,Ceara,Arena Castelão,2,0,CE,SP,0
6609,11,20/7/2019,16:10,CSA,Athletico-PR,4-3-1-2,4-2-3-1,A. Fucks,T. Retzalff Nunes,Athletico-PR,Estádio Rei Pelé,0,4,AL,PR,1
6610,11,20/7/2019,19:00,Internacional,Gremio,4-1-4-1,4-2-3-1,O. Hellmann,Renato Gaúcho,-,Estádio José Pinheiro Borda,1,1,RS,RS,2
6611,11,21/7/2019,11:01,Botafogo-RJ,Santos,4-1-4-1,4-3-3,E. de Souza Barroca,J. Sampaoli Moya,Santos,Estádio Nilton Santos,0,1,RJ,SP,1
6612,11,21/7/2019,16:02,Atletico-MG,Fortaleza,4-2-3-1,4-2-3-1,R. Marques Santana,R. Ceni,-,Estádio Raimundo Sampaio,2,2,MG,CE,2
6613,11,21/7/2019,16:01,Corinthians,Flamengo,4-1-4-1,4-1-4-1,F. Carille,J. Pinheiro de Jesus,-,Neo Química Arena,1,1,SP,RJ,2
6614,11,21/7/2019,19:00,Avai,Goias,4-2-3-1,4-2-3-1,A. Valentim do Carmo Neto,C. dos Santos Oliveira,-,  Ressacada,0,0,SC,GO,2
6615,11,22/7/2019,20:02,Sao Paulo,Chapecoense,4-2-3-1,4-2-3-1,A. Stival,N. da Silveira Júnior,Sao Paulo, Morumbi,4,0,SP,SC,0
6616,12,27/7/2019,17:00,Palmeiras,Vasco,4-2-3-1,4-3-3,L. Scolari,V. Luxemburgo da Silva,-,Allianz Parque,1,1,SP,RJ,2
6617,12,27/7/2019,13:58,Cruzeiro,Athletico-PR,4-2-3-1,4-2-3-1,L. Venker de Menezes,T. Retzalff Nunes,Athletico-PR, Mineirão,0,2,MG,PR,1
6618,12,27/7/2019,19:01,Fluminense,Sao Paulo,4-2-3-1,4-2-3-1,F. Diniz Silva,A. Stival,Sao Paulo, Maracanã,1,2,RJ,SP,1
6619,12,27/7/2019,19:00,Internacional,Ceara,4-3-3,4-4-2,O. Hellmann,E. Alves Moreira,Internacional,Estádio José Pinheiro Borda,1,0,RS,CE,0
6620,12,28/7/2019,11:00,Chapecoense,Bahia,4-1-4-1,4-3-3,E. Hartkopp,R. Machado Marques,-,Arena Condá,0,0,SC,BA,2
6621,12,28/7/2019,15:59,Flamengo,Botafogo-RJ,4-4-2,4-1-4-1,J. Pinheiro de Jesus,E. de Souza Barroca,Flamengo, Maracanã,3,2,RJ,RJ,0
6622,12,28/7/2019,16:01,Santos,Avai,4-3-3,4-1-4-1,J. Sampaoli Moya,A. Valentim do Carmo Neto,Santos,Estádio Urbano Caldeira,3,1,SP,SC,0
6623,12,28/7/2019,19:03,Goias,Atletico-MG,4-2-3-1,4-1-4-1,C. dos Santos Oliveira,R. Marques Santana,-,Estádio do Governo do Estado de Goiás (Serra Dourada),0,0,GO,MG,2
6624,12,28/7/2019,19:00,Fortaleza,Corinthians,4-4-2,4-1-4-1,R. Ceni,F. Carille,Corinthians,Arena Castelão,1,3,CE,SP,1
6625,12,29/7/2019,20:02,CSA,Gremio,4-2-3-1,4-2-3-1,A. Fucks,Renato Gaúcho,-,Estádio Rei Pelé,0,0,AL,RS,2
6626,13,3/8/2019,19:01,Ceara,Fortaleza,4-2-3-1,4-4-2,E. Alves Moreira,R. Ceni,Ceara,Arena Castelão,2,1,CE,CE,0
6627,13,3/8/2019,19:00,Fluminense,Internacional,4-1-4-1,4-3-3,F. Diniz Silva,O. Hellmann,Fluminense, Maracanã,2,1,RJ,RS,0
6628,13,4/8/2019,11:01,Santos,Goias,3-2-4-1,4-2-3-1,J. Sampaoli Moya,C. dos Santos Oliveira,Santos,Estádio Urbano Caldeira,6,1,SP,GO,0
6629,13,4/8/2019,16:00,Avai,Botafogo-RJ,4-2-3-1,4-1-4-1,A. Valentim do Carmo Neto,E. de Souza Barroca,Botafogo-RJ,  Ressacada,0,2,SC,RJ,1
6630,13,4/8/2019,16:01,Bahia,Flamengo,4-3-3,4-2-3-1,R. Machado Marques,J. Pinheiro de Jesus,Bahia,Itaipava Arena Fonte Nova,3,0,BA,RJ,0
6631,13,4/8/2019,19:00,Corinthians,Palmeiras,4-1-4-1,4-2-3-1,F. Carille,L. Scolari,-,Neo Química Arena,1,1,SP,SP,2
6632,13,4/8/2019,19:00,Vasco,CSA,4-2-3-1,4-2-3-1,V. Luxemburgo da Silva,A. Fucks,-,Kléber Andrade,0,0,RJ,AL,2
6633,13,4/8/2019,19:00,Atletico-MG,Cruzeiro,4-1-4-1,4-2-3-1,R. Marques Santana,L. Venker de Menezes,Atletico-MG,Estádio Raimundo Sampaio,2,0,MG,MG,0
6634,13,5/8/2019,20:00,Gremio,Chapecoense,4-2-3-1,4-4-1-1,Renato Gaúcho,E. Hartkopp,-,Arena do Grêmio,3,3,RS,SC,2
6575,7,7/8/2019,19:15,Corinthians,Goias,4-1-4-1,4-3-3,F. Carille,R. L. Martins Gomes,Corinthians,Neo Química Arena,2,0,SP,GO,0
6636,14,10/8/2019,17:01,Ceara,Chapecoense,4-2-3-1,4-4-1-1,E. Alves Moreira,E. Hartkopp,Ceara,Arena Castelão,4,1,CE,SC,0
6637,14,10/8/2019,17:03,Sao Paulo,Santos,4-2-3-1,4-3-3,A. Stival,J. Sampaoli Moya,Sao Paulo, Morumbi,3,2,SP,SP,0
6638,14,10/8/2019,18:59,Flamengo,Gremio,4-2-2-2,4-2-3-1,J. Pinheiro de Jesus,Renato Gaúcho,Flamengo, Maracanã,3,1,RJ,RS,0
6639,14,10/8/2019,21:00,Atletico-MG,Fluminense,4-2-3-1,4-1-4-1,R. Marques Santana,F. Diniz Silva,Atletico-MG,Estádio Raimundo Sampaio,2,1,MG,RJ,0
6640,14,11/8/2019,11:00,Internacional,Corinthians,4-3-3,4-1-4-1,O. Hellmann,F. Carille,-,Estádio José Pinheiro Borda,0,0,RS,SP,2
6641,14,11/8/2019,16:00,Palmeiras,Bahia,4-2-3-1,4-3-3,L. Scolari,R. Machado Marques,-,Allianz Parque,2,2,SP,BA,2
6642,14,11/8/2019,16:01,Avai,Cruzeiro,4-3-3,4-2-3-1,A. Valentim do Carmo Neto,R. Alves Resende,-,  Ressacada,2,2,SC,MG,2
6643,14,11/8/2019,16:01,Botafogo-RJ,Athletico-PR,4-1-4-1,4-2-3-1,E. de Souza Barroca,T. Retzalff Nunes,Botafogo-RJ,Estádio Nilton Santos,2,1,RJ,PR,0
6644,14,11/8/2019,19:00,Goias,Vasco,4-2-3-1,4-2-3-1,N. da Silveira Júnior,V. Luxemburgo da Silva,Vasco,Estádio do Governo do Estado de Goiás (Serra Dourada),0,1,GO,RJ,1
6645,14,12/8/2019,20:01,CSA,Fortaleza,4-2-2-2,4-4-1-1,A. Fucks,M. Montenegro,Fortaleza,Estádio Rei Pelé,0,2,AL,CE,1
6646,15,17/8/2019,17:00,Corinthians,Botafogo-RJ,4-1-4-1,4-3-3,F. Carille,E. de Souza Barroca,Corinthians,Neo Química Arena,2,0,SP,RJ,0
6647,15,17/8/2019,17:19,Fortaleza,Internacional,4-4-1-1,4-3-3,J. Mannarino,O. Hellmann,Internacional,Arena Castelão,0,1,CE,RS,1
6648,15,17/8/2019,19:00,Vasco,Flamengo,4-3-3,4-2-3-1,V. Luxemburgo da Silva,J. Pinheiro de Jesus,Flamengo,Estádio Nacional de Brasília,1,4,RJ,RJ,1
6649,15,17/8/2019,11:04,Athletico-PR,Atletico-MG,4-2-3-1,4-2-3-1,T. Retzalff Nunes,R. Marques Santana,Athletico-PR,Estádio Joaquim Américo Guimarães,1,0,PR,MG,0
6650,15,17/8/2019,21:00,Gremio,Palmeiras,4-2-3-1,4-1-4-1,Renato Gaúcho,L. Scolari,-,Arena do Grêmio,1,1,RS,SP,2
6651,15,18/8/2019,16:00,Fluminense,CSA,4-1-4-1,4-2-2-2,F. Diniz Silva,A. Fucks,CSA, Maracanã,0,1,RJ,AL,1
6652,15,18/8/2019,16:02,Sao Paulo,Ceara,4-1-4-1,4-2-3-1,A. Stival,E. Alves Moreira,Sao Paulo, Morumbi,1,0,SP,CE,0
6653,15,18/8/2019,16:01,Bahia,Goias,4-2-3-1,4-4-2,R. Machado Marques,N. da Silveira Júnior,-,Itaipava Arena Fonte Nova,1,1,BA,GO,2
